,id,section,key,English,French
7,A1-Find Benefits for,A1,Find Benefits for,Find Benefits for,Trouver des avantages pour
10,A2-Family,A2,Family,Family,Famille
11,A2-Not Sure,A2,Not Sure,Not Sure,Pas certain
12,A2-See Results,A2,See Results,See Results,Voir les résultats
9,A2-Veteran,A2,Veteran,Veteran,Vétéran
8,A2-What best describes your status?,A2,What best describes your status?,What best describes your status?,Ce qui décrit le mieux votre statut?
15,A3-At this time there are no benefits that match your selections,A3,At this time there are no benefits that match your selections,At this time there are no benefits that match your selections.,"Pour le moment, aucun avantage ne correspond à vos sélections."
14,A3-Here are NNN benefits that may apply to you,A3,Here are NNN benefits that may apply to you,Here are {{value}} benefits that may apply to you,Voici {{value}} avantages qui peuvent s'appliquer à vous
16,A3-Here is a benefit that may apply to you,A3,Here is a benefit that may apply to you,Here is a benefit that may apply to you,Voici un avantage qui peut s'appliquer à vous
18,A3-Please select a need,A3,Please select a need,Please select a need.,Veuillez sélectionner un besoin.
17,A3-Please select a status,A3,Please select a status,Please select a status.,Veuillez sélectionner un statut.
13,A3-Your Selection,A3,Your Selection,Your Selection,Votre sélection
37,B3-All benefits to consider,B3,All benefits to consider,Showing all benefits,Tous les avantages
30,B3-Alphabetical,B3,Alphabetical,Alphabetical,Alphabétique
27,B3-Benefits for,B3,Benefits for,Recipient,Bénéficiaire
21,B3-Filter Benefits,B3,Filter Benefits,Filter Benefits,Filtrer les avantages
39,B3-Filter by eligibility,B3,Filter by eligibility,Show me benefits for:,Montrez-moi des avantages pour:
20,B3-Needs,B3,Needs,Needs,Besoins
35,B3-No benefits,B3,No benefits,At this time there are no benefits that match your selections,"Pour le moment, aucun avantage ne correspond à vos sélections."
36,B3-One benefit,B3,One benefit,One benefit to consider,Un avantage à considérer
23,B3-PatronType,B3,PatronType,Who are you looking for?,Qui cherches-tu?
29,B3-Popularity,B3,Popularity,Popularity,Popularité
22,B3-ServiceType,B3,ServiceType,Service type,Type de service
28,B3-Sort By,B3,Sort By,Sort By,Trier par
19,B3-Status,B3,Status,Status,Statut
26,B3-What do you need help with?,B3,What do you need help with?,What do you need help with?,Avec quoi as tu besoin d'aide?
38,B3-check eligibility,B3,check eligibility,Remember to read the eligibility criteria for each benefit before applying.,Vérifiez les critéres d’admissibilité de chaque avantage avant de faire une demande.
40,B3-favouritesButtonText,B3,favouritesButtonText,Favourites,Favoris
25,B3-servicePersonVitalStatus,B3,servicePersonVitalStatus,Is the service member alive?,Est-ce que le Vétéran est en vie?
24,B3-serviceStatus,B3,serviceStatus,Service status,Statut du membre
32,B3-subtitle1,B3,subtitle1,Veteran Affairs Canada offers over 20 benefits to help you and your family.,Anciens Combattants Canada offre plus de 20 avantages pour vous et votre famille.
33,B3-subtitle2,B3,subtitle2,Use the filters below to find benefits that are relevant to your needs.,Utilisez les filtres plus bas pour trouver les avantages qui répondent à vos besoins.
31,B3-title,B3,title,Find benefits relevant to you,Trouver des avantages qui vous conviennent
34,B3-x benefits to consider,B3,x benefits to consider,Showing {{x}} benefits for you to consider,{{x}} avantages à considérer
6,GE-needs subtitle,GE,needs subtitle,Select all that apply,Sélectionnez tout ce qui s'y rapporte
5,GE-needs title,GE,needs title,I need help with:,J'ai besoin d'aide avec:
2,GE-patronType,GE,patronType,Select the one that best describes who will be receiving the benefit.,Sélectionnez l'option qui décrit le mieux celui qui bénéficiera de l'avantage.
3,GE-serviceType,GE,serviceType,Select the one that best describes the service type.,Sélectionnez l'option qui décrit le mieux le type de service.
4,GE-statusAndVitals,GE,statusAndVitals,Select the one that best describes the status.,Sélectionnez l'option qui décrit le mieux le statut du membre.
100,all-Available to,all,Available to,Available to,Disponible pour
98,all-Benefit Description,all,Benefit Description,Benefit Description,Description de l'avantage
78,all-CAF,all,CAF,Canadian Armed Forces,Forces Armées Canadiennes
69,all-Change,all,Change,Change,Changes
106,all-Clear,all,Clear,Clear,Déselectionner
103,all-Close all,all,Close all,Close all,Ferme tout
76,all-Disability Award,all,Disability Award,Disability Award,Prix ​​d'invalidité
77,all-Disability Award Description,all,Disability Award Description,Financial payments provided to individuals who have a service-related disability.,Les paiements financiers versés aux personnes ayant une déficience liée au service.
108,all-Family child benefits,all,Family child benefits,With this benefit the Veteran's family may have access to,"Avec cet avantage, la famille du Vétéran peut avoir accès à"
102,all-Filter by need,all,Filter by need,I need help with:,J’ai besoin d’aide avec:
73,all-Financial,all,Financial,Financial,Financier
99,all-Find out more,all,Find out more,Find out more,En savoir plus
110,all-Print,all,Print,Print,Imprimer
65,all-Privacy,all,Privacy,Privacy,Intimité
79,all-RCMP,all,RCMP,Royal Canadian Mounted Police,Gendarmerie royale du Canada
111,all-Select all that apply,all,Select all that apply,Select all that apply,Sélectionnez tous les sujets qui vous intéressent.
66,all-Show All Benefits,all,Show All Benefits,Show All Benefits,Afficher tous les avantages
72,all-Support for Families,all,Support for Families,Support for Families,Soutien aux familles
74,all-Survivor's Pension,all,Survivor's Pension,Survivor's Pension,Pension de survivant
75,all-Survivor's Pension Description,all,Survivor's Pension Description,Spouses receive the full amount of the pension following first year of death.,Les conjoints reçoivent le plein montant de la pension après la première année du décès.
107,all-Veteran child benefits,all,Veteran child benefits,With this benefit the Veteran may have access to,"Avec cet avantage, le Vétéran peut avoir accès à"
70,all-View Details,all,View Details,View Details,Voir les détails
80,all-WSV (WWII or Korea),all,WSV (WWII or Korea),WWII or Korean War Veterans,Vétérans de la Seconde Guerre mondiale ou la guerre de Corée
63,all-current-language-code,all,current-language-code,en,fr
64,all-other-language-code,all,other-language-code,fr,en
60,all-alpha,all,alpha,For testing only.,Pour les tests seulement
58,all-back,all,back,back,Retour
1,all-benefits-List of all benefits,all-benefits,List of all benefits,List of all benefits,La liste complète des avantages
59,all-child benefits,all,child benefits,"With this benefit, you may also have access to","Avec cet avantage, vous pouvez également avoir accès"
91,all-comment-help-us-improve,all,comment-help-us-improve,Help us improve this site,Aidez-nous à améliorer ce site
92,all-comment-privacy-disclaimer,all,comment-privacy-disclaimer,Please do not include private information,Veuillez ne pas inclure d'informations privées
89,all-comment-prompt,all,comment-prompt,Is there anything wrong with this page?,Y at-il un problème avec cette page?
90,all-comment-response,all,comment-response,Thank you for your comment,Merci pour votre commentaire
94,all-comment-what-went-wrong,all,comment-what-went-wrong,What went wrong?,Qu'est ce qui ne s'est pas bien passé?
93,all-comment-what-were-you-doing,all,comment-what-were-you-doing,What were you doing?,Que faisiez-vous?
84,all-deceased,all,deceased,Deceased,Décédé
68,all-description,all,description,VAC Proof of Concept,Preuve de concept pour le projet ACC
86,all-disabled-servicePersonVitalStatusFilter,all,disabled-servicePersonVitalStatusFilter,Only required for family,Seulement requis pour la famille
85,all-disabled-serviceStatusFilter,all,disabled-serviceStatusFilter,Only required for CAF Veterans,Seulement requis pour FAC Vétérans
101,all-examples,all,examples,Depending on your needs this program can provide,"Selon vos besoins, ce programme peut fournir"
82,all-family,all,family,Family members,Membres de la famille
96,all-feedback-prompt,all,feedback-prompt,Did you find the information you're looking for?,Avez-vous trouvé l'information que vous cherchez?
97,all-feedback-response,all,feedback-response,Thank you for your feedback.,Merci pour votre avis.
57,all-next,all,next,next,Suivant
88,all-no,all,no,No,Non
61,all-noscript,all,noscript,"Javascript is disabled and you may experience reduced functionality. To see a full list of benefits, click <a href='/all-benefits'>here</a>.","Javascript est désactivé et vous pouvez rencontrer des fonctionnalités réduites. Pour voir la liste complète des avantages, cliquez <a href='/all-benefits'>ici</a>."
83,all-organization,all,organization,Organizations,Organisations
62,all-other-language,all,other-language,Français,English
71,all-refresh-cache,all,refresh-cache,Refresh Cache,Rafraîchir le cache
105,all-releasedAlive,all,releasedAlive,Released,Libéré
109,all-search,all,search,Search,Chercher
95,all-send,all,send,Send,Envoyer
81,all-service-person,all,service-person,Veteran or serving member,Vétéran ou membre actif
104,all-stillServing,all,stillServing,Still-serving,Toujours en train de servir
67,all-title,all,title,VAC Proof of Concept,Preuve de concept pour le projet ACC
87,all-yes,all,yes,Yes,Oui
56,dv-Benefits with Empty Fields,dv,Benefits with Empty Fields,Benefits with empty fields,Avantages avec des champs vides
52,dv-Fail,dv,Fail,Fail,Échouer
51,dv-Pass,dv,Pass,Pass,Passer
50,dv-Size of Benefits Table,dv,Size of Benefits Table,Size of benefits table,Taille de la table des avantages
53,dv-Size of Eligibility Paths Table,dv,Size of Eligibility Paths Table,Size of eligibility paths table,Taille du tableau des chemins d'admissibilité
55,dv-Size of Examples Table,dv,Size of Examples Table,Size of examples table,Taille de la table des exemples
54,dv-Size of Needs Table,dv,Size of Needs Table,Size of needs table,Tableau de la taille des besoins
47,dv-name,dv,name,Name,Nom
46,dv-pageTitle,dv,pageTitle,Data Validation,Validation des Données
49,dv-status,dv,status,Status,Statut
48,dv-value,dv,value,Value,Valeur
0,home-poc-description,home,poc-description,This is a Proof of Concept for the VAC project,Ceci est une preuve de concept pour le projet ACC
41,index-all benefits,index,all benefits,View all benefits,Voir tous les avantages
42,index-benefits directory,index,benefits directory,benefits directory,annuaire des avantages
43,index-guided experience,index,guided experience,Find benefits relevant to you,Trouver des avantages pertinents pour vous
44,index-or,index,or,or,ou
45,index-title,index,title,We are here to provide support for Veterans in all phases of their life during or after the military,Nous sommes ici pour offrir du soutien aux Vétérans à toutes les étapes de leur vie pendant ou après l'armée
